iter	Passed	Remaining
667	1119	556
668	1121	554
669	1122	552
670	1123	550
671	1124	549
672	1126	547
673	1127	545
674	1128	543
675	1129	541
676	1130	539
677	1132	537
678	1133	536
679	1135	534
680	1136	532
681	1137	530
682	1138	528
683	1140	526
684	1141	524
685	1142	522
686	1143	520
687	1144	519
688	1146	517
689	1148	515
690	1149	513
691	1150	511
692	1151	510
693	1152	508
694	1153	506
695	1154	504
696	1156	502
697	1157	500
698	1159	499
699	1160	497
700	1162	495
701	1163	493
702	1164	491
703	1165	490
704	1166	488
705	1167	486
706	1168	484
707	1170	482
708	1172	481
709	1173	479
710	1174	477
711	1175	475
712	1176	473
713	1178	471
714	1179	470
715	1180	468
716	1182	466
717	1183	464
718	1185	463
719	1187	461
720	1188	459
721	1189	458
722	1190	456
723	1192	454
724	1193	452
725	1194	450
726	1195	449
727	1197	447
728	1199	445
729	1200	443
730	1201	442
731	1202	440
732	1203	438
733	1205	436
734	1206	434
735	1207	433
736	1208	431
737	1210	429
738	1211	427
739	1213	426
740	1214	424
741	1215	422
742	1216	420
743	1218	419
744	1219	417
745	1220	415
746	1221	413
747	1223	412
748	1225	410
749	1226	408
750	1227	407
751	1229	405
752	1230	403
753	1231	401
754	1232	399
755	1233	398
756	1235	396
757	1236	394
758	1238	393
759	1239	391
760	1241	389
761	1242	387
762	1243	386
763	1244	384
764	1245	382
765	1246	380
766	1248	379
767	1250	377
768	1252	376
769	1253	374
770	1254	372
771	1255	370
772	1256	369
773	1257	367
774	1258	365
775	1260	363
776	1261	362
777	1263	360
778	1264	358
779	1266	357
780	1267	355
781	1268	353
782	1269	351
783	1271	350
784	1272	348
785	1273	346
786	1274	344
787	1276	343
788	1277	341
789	1279	340
790	1280	338
791	1281	336
792	1282	334
793	1284	333
794	1285	331
795	1286	329
796	1287	327
797	1289	326
798	1290	324
799	1291	322
800	1292	321
801	1293	319
802	1295	317
803	1296	315
804	1297	314
805	1298	312
806	1299	310
807	1300	309
808	1302	307
809	1304	305
810	1305	304
811	1306	302
812	1307	300
813	1308	299
814	1309	297
815	1311	295
816	1312	293
817	1313	292
818	1314	290
819	1316	289
820	1317	287
821	1318	285
822	1320	283
823	1321	282
824	1322	280
825	1323	278
826	1324	277
827	1325	275
828	1327	273
829	1329	272
830	1330	270
831	1332	268
832	1333	267
833	1334	265
834	1335	263
835	1336	262
836	1338	260
837	1339	258
838	1341	257
839	1343	255
840	1344	254
841	1345	252
842	1346	250
843	1347	249
844	1348	247
845	1350	245
846	1351	244
847	1352	242
848	1354	240
849	1355	239
850	1356	237
851	1358	235
852	1359	234
853	1360	232
854	1361	230
855	1363	229
856	1364	227
857	1365	225
858	1367	224
859	1368	222
860	1370	221
861	1371	219
862	1372	217
863	1374	216
864	1375	214
865	1376	213
866	1378	211
867	1379	209
868	1381	208
869	1382	206
870	1383	204
871	1384	203
872	1386	201
873	1387	200
874	1388	198
875	1389	196
876	1390	195
877	1392	193
878	1393	191
879	1395	190
880	1396	188
881	1397	187
882	1399	185
883	1400	183
884	1402	182
885	1403	180
886	1405	179
887	1406	177
888	1408	175
889	1409	174
890	1410	172
891	1412	170
892	1413	169
893	1415	167
894	1416	166
895	1417	164
896	1420	163
897	1421	161
898	1423	159
899	1424	158
900	1425	156
901	1426	155
902	1427	153
903	1429	151
904	1430	150
905	1431	148
906	1433	147
907	1435	145
908	1436	143
909	1438	142
910	1439	140
911	1440	138
912	1441	137
913	1443	135
914	1445	134
915	1447	132
916	1448	131
917	1450	129
918	1452	127
919	1453	126
920	1455	124
921	1457	123
922	1459	121
923	1461	120
924	1462	118
925	1463	116
926	1464	115
927	1466	113
928	1467	112
929	1468	110
930	1469	108
931	1471	107
932	1473	105
933	1474	104
934	1475	102
935	1476	100
936	1477	99
937	1479	97
938	1480	96
939	1481	94
940	1483	92
941	1484	91
942	1486	89
943	1487	88
944	1488	86
945	1489	85
946	1490	83
947	1491	81
948	1493	80
949	1494	78
950	1495	77
951	1497	75
952	1498	73
953	1500	72
954	1501	70
955	1503	69
956	1504	67
957	1505	66
958	1507	64
959	1508	62
960	1510	61
961	1512	59
962	1513	58
963	1514	56
964	1516	55
965	1517	53
966	1518	51
967	1520	50
968	1521	48
969	1523	47
970	1524	45
971	1525	43
972	1526	42
973	1528	40
974	1529	39
975	1530	37
976	1531	36
977	1533	34
978	1534	32
979	1535	31
980	1537	29
981	1539	28
982	1540	26
983	1541	25
984	1542	23
985	1543	21
986	1544	20
987	1545	18
988	1546	17
989	1548	15
990	1550	14
991	1551	12
992	1552	10
993	1553	9
994	1554	7
995	1555	6
996	1557	4
997	1558	3
998	1559	1
999	1560	0
